numActiveSessions:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHBufferLength:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoBitrate:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoResolution:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostVID[0].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostVID[0].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostVID[0].tcp.conn-511 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHReceivedBytes:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
,,,,,,,,,,,,1.2270298072,47,1.2330702872,1499,,,1.2483603672,0.14566581179400001,,
,,,,,,,,,,,,1.2330702872,47,1.2379452472,1499,,,1.2544912472,0.151796691793999959,,
,,,,,,,,,,,,1.2379452472,47,1.2434016472,1499,,,1.2591009272,0.156406371793999964,,
,,,,,,,,,,,,1.2434016472,47,1.2483603672,1499,,,1.2654074872,0.162712931793999981,,
,,,,,,,,,,,,1.2483603672,47,1.2544912472,1499,,,1.2698012472,0.167106691794000005,,
,,,,,,,,,,,,1.2544912472,47,1.2591009272,1499,,,1.2778778872,0.175183331793999973,,
,,,,,,,,,,,,1.2591009272,47,1.2654074872,1499,,,1.2805298072,0.177835251794000003,,
,,,,,,,,,,,,1.2654074872,47,1.2698012472,1499,,,1.2892544472,0.186559891794000009,,
,,,,,,,,,,,,1.2698012472,47,1.2778778872,1499,,,1.2913098072,0.188615251793999959,,
,,,,,,,,,,,,1.2778778872,47,1.2805298072,1499,,,1.2969820472,0.19428749179400001,,
,,,,,,,,,,,,1.2805298072,47,1.2892544472,1499,,,1.3020546872,0.199360131793999972,,
,,,,,,,,,,,,1.2892544472,47,1.2913098072,1499,,,1.3081166872,0.205422131793999983,,
,,,,,,,,,,,,1.2913098072,47,1.2969820472,1499,,,1.3125764472,0.209881891793999963,,
,,,,,,,,,,,,1.2969820472,47,1.3020546872,1499,,,1.3182606872,0.21556613179399997,,
,,,,,,,,,,,,1.3020546872,47,1.3081166872,1499,,,1.3233393272,0.220644771793999993,,
,,,,,,,,,,,,1.3081166872,47,1.3125764472,1499,,,1.3305734872,0.227878931793999982,,
,,,,,,,,,,,,1.3125764472,47,1.3182606872,1499,,,1.3341890872,0.231494531793999979,,
,,,,,,,,,,,,1.3182606872,47,1.3233393272,1499,,,1.3409520472,0.238257491793999964,,
,,,,,,,,,,,,1.3233393272,47,1.3305734872,1499,,,1.3448151672,0.242120611793999961,,
,,,,,,,,,,,,1.3305734872,47,1.3341890872,1499,,,1.3509898072,0.24829525179399997,,
,,,,,,,,,,,,1.3341890872,47,1.3409520472,1499,,,1.3554448472,0.252750291793999991,,
,,,,,,,,,,,,1.3409520472,47,1.3448151672,1499,,,1.3616108472,0.258916291793999996,,
,,,,,,,,,,,,1.3448151672,47,1.3509898072,1499,,,1.3661312472,0.263436691793999976,,
,,,,,,,,,,,,1.3509898072,47,1.3554448472,1499,,,1.3755437272,0.272849171793999922,,
,,,,,,,,,,,,1.3554448472,47,1.3616108472,1499,,,1.3796510072,0.276956451793999967,,
,,,,,,,,,,,,1.3616108472,47,1.3661312472,1499,,,1.3861806872,0.28348613179399995,,
,,,,,,,,,,,,1.3661312472,47,1.3755437272,1499,,,1.3899282072,0.287233651793999954,,
,,,,,,,,,,,,1.3755437272,47,1.3796510072,1499,,,1.3960927672,0.29339821179399994,,
,,,,,,,,,,,,1.3796510072,47,1.3861806872,1499,,,1.3982693272,0.295574771793999934,,
,,,,,,,,,,,,1.3861806872,47,1.3899282072,1499,,,1.4061241272,0.303429571793999984,,
,,,,,,,,,,,,1.3899282072,47,1.3960927672,1499,,,1.4091498872,0.306455331793999973,,
,,,,,,,,,,,,1.3960927672,47,1.3982693272,1499,,,1.4163890072,0.313694451794000016,,
,,,,,,,,,,,,1.3982693272,47,1.4061241272,1499,,,1.4196653272,0.316970771794000015,,
,,,,,,,,,,,,1.4061241272,47,1.4091498872,1499,,,1.4275545272,0.324859971793999945,,
,,,,,,,,,,,,1.4091498872,47,1.4163890072,1499,,,1.4305705272,0.327875971793999963,,
,,,,,,,,,,,,1.4163890072,47,1.4196653272,1499,,,1.4397324472,0.337037891794000009,,
,,,,,,,,,,,,1.4196653272,47,1.4275545272,1499,,,1.4436487672,0.340954211793999981,,
,,,,,,,,,,,,1.4275545272,47,1.4305705272,1499,,,1.4504444472,0.347749891793999953,,
,,,,,,,,,,,,1.4305705272,47,1.4397324472,1499,,,1.4574346872,0.354740131793999989,,
,,,,,,,,,,,,1.4397324472,47,1.4436487672,1499,,,1.4611551672,0.358460611794000015,,
,,,,,,,,,,,,1.4436487672,47,1.4504444472,1499,,,1.4718501272,0.369155571793999935,,
,,,,,,,,,,,,1.4504444472,47,1.4574346872,1499,,,1.4734378072,0.370743251793999915,,
,,,,,,,,,,,,1.4574346872,47,1.4611551672,1499,,,1.4826151672,0.379920611793999939,,
,,,,,,,,,,,,1.4611551672,47,1.4718501272,1499,,,1.4848037272,0.382109171793999944,,
,,,,,,,,,,,,1.4718501272,47,1.4734378072,1499,,,1.4932461272,0.390551571794000017,,
